date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:23:54	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226272da93-239b%22	http://videojs.github.io/robots.txt		(from )
20:23:55	6396/6396	---M-Z	200	added ('OK')	text/html	etag:W/%225b9023db-18fc%22	http://videojs.github.io/videojs-contrib-hls/	C:/Users/clela/Desktop/website/video/videojs.github.io/videojs-contrib-hls/index.html	(from )
20:23:56	121260/121260	---M-Z	200	added ('OK')	text/css	etag:W/%225b9023db-1d9ac%22	http://videojs.github.io/videojs-contrib-hls/node_modules/bootstrap/dist/css/bootstrap.min.css	C:/Users/clela/Desktop/website/video/videojs.github.io/videojs-contrib-hls/node_modules/bootstrap/dist/css/bootstrap.min.css	(from http://videojs.github.io/videojs-contrib-hls/)
20:23:57	32038/32038	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%225b9023db-7d26%22	http://videojs.github.io/videojs-contrib-hls/favicon.ico	C:/Users/clela/Desktop/website/video/videojs.github.io/videojs-contrib-hls/favicon.ico	(from http://videojs.github.io/videojs-contrib-hls/)
20:24:17	36868/36868	---M-Z	200	added ('OK')	application/javascript	etag:W/%225b9023db-9004%22	http://videojs.github.io/videojs-contrib-hls/node_modules/bootstrap/dist/js/bootstrap.min.js	C:/Users/clela/Desktop/website/video/videojs.github.io/videojs-contrib-hls/node_modules/bootstrap/dist/js/bootstrap.min.js	(from http://videojs.github.io/videojs-contrib-hls/)
20:24:17	695/695	---M-Z	200	added ('OK')	application/javascript	etag:W/%225b9023db-2b7%22	http://videojs.github.io/videojs-contrib-hls/js/ie10-viewport-bug-workaround.js	C:/Users/clela/Desktop/website/video/videojs.github.io/videojs-contrib-hls/js/ie10-viewport-bug-workaround.js	(from http://videojs.github.io/videojs-contrib-hls/)
20:24:19	56/56	---MCZ	302	error ('Found')	text/plain	date:Mon,%2023%20May%202022%2012:24:19%20GMT	https://unpkg.com/video.js/dist/video-js.css	C:/Users/clela/Desktop/website/video/unpkg.com/video.js/dist/video-js.5.delayed	(from http://videojs.github.io/videojs-contrib-hls/)
20:24:19	46583/46583	---MCZ	200	added ('OK')	text/css	etag:%22b5f7-L3XeOKr6kBh2e3qi7Z/yVfYS+cA%22	https://unpkg.com/video.js@7.19.2/dist/video-js.css	C:/Users/clela/Desktop/website/video/unpkg.com/video.js@7.19.2/dist/video-js.css	(from http://videojs.github.io/videojs-contrib-hls/)
20:24:20	52/52	---MCZ	302	error ('Found')	text/plain	date:Mon,%2023%20May%202022%2012:24:20%20GMT	https://unpkg.com/video.js/dist/video.js	C:/Users/clela/Desktop/website/video/unpkg.com/video.js/dist/video.7.delayed	(from http://videojs.github.io/videojs-contrib-hls/)
20:24:21	64/64	---MCZ	302	error ('Found')	text/plain	date:Mon,%2023%20May%202022%2012:24:20%20GMT	https://unpkg.com/videojs-flash/dist/videojs-flash.js	C:/Users/clela/Desktop/website/video/unpkg.com/videojs-flash/dist/videojs-flash.js	(from http://videojs.github.io/videojs-contrib-hls/)
